format=1 tracks=6 division=480

BA    1   CR         0   TR  0   CH 16   Tempo 120
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Text type 6: "Start"
BA    7   CR         0   TR  1   CH  1   NT  A---       59/120   von=105   voff=105
BA    7   CR         1   TR  1   CH  1   NT  C--         29/60   von=97   voff=97
BA    7   CR         2   TR  1   CH  1   NT  D--         11/32   von=101   voff=101
BA    7   CR     2+1/2   TR  1   CH  1   NT  C--        53/240   von=95   voff=95
BA    7   CR         3   TR  1   CH  1   NT  D--        43/160   von=97   voff=97
BA    7   CR     3+1/2   TR  1   CH  1   NT  Eb--       41/160   von=78   voff=78
BA    7   CR     3+3/4   TR  1   CH  1   NT  E--          5/16   von=101   voff=101

BA    9   CR         0   TR  1   CH  1   NT  A---       59/120   von=105   voff=105
BA    9   CR         0   TR  4   CH  1   NT  A--       167/480   von=95   voff=95
BA    9   CR    67/120   TR  2   CH  1   NT  F#--          1/8   von=90   voff=90
BA    9   CR         1   TR  1   CH  1   NT  C--         29/60   von=97   voff=97
BA    9   CR         1   TR  4   CH  1   NT  A--       199/480   von=90   voff=90
BA    9   CR  1+67/120   TR  2   CH  1   NT  F#--       61/480   von=97   voff=97
BA    9   CR         2   TR  1   CH  1   NT  D--         11/32   von=101   voff=101
BA    9   CR         2   TR  4   CH  1   NT  C-          13/16   von=95   voff=95
BA    9   CR     2+1/2   TR  1   CH  1   NT  C--        53/240   von=95   voff=95
BA    9   CR  2+67/120   TR  2   CH  1   NT  F#--       61/480   von=94   voff=94
BA    9   CR         3   TR  1   CH  1   NT  D--        43/160   von=97   voff=97
BA    9   CR         3   TR  4   CH  1   NT  A--         23/48   von=90   voff=90
BA    9   CR     3+1/2   TR  1   CH  1   NT  Eb--       41/160   von=78   voff=78
BA    9   CR     3+1/2   TR  4   CH  1   NT  D-          31/60   voff=90
BA    9   CR  3+67/120   TR  2   CH  1   NT  F#--        11/96   von=97   voff=97
BA    9   CR     3+3/4   TR  1   CH  1   NT  E--       119/480   von=101   voff=101

BA   10   CR       1/4   TR  1   CH  1   NT  A--      3+61/480   von=103   voff=103
BA   10   CR       1/2   TR  4   CH  1   NT  D-        263/480   von=84   voff=84
BA   10   CR    67/120   TR  2   CH  1   NT  F#--       29/240   von=109   voff=109
BA   10   CR     1+1/2   TR  4   CH  1   NT  D-        199/480   von=88   voff=88
BA   10   CR  1+67/120   TR  2   CH  1   NT  F#--       21/160   voff=109
BA   10   CR         2   TR  4   CH  1   NT  C-        263/480   von=82   voff=82
BA   10   CR  2+67/120   TR  2   CH  1   NT  F#--       67/480   von=103   voff=103
BA   10   CR         3   TR  4   CH  1   NT  C-          19/30   von=88   voff=88
BA   10   CR  3+67/120   TR  2   CH  1   NT  F#--       67/480   von=107   voff=107

BA   11   CR         0   TR  1   CH  1   NT  A---       59/120   von=105   voff=105
BA   11   CR         0   TR  4   CH  1   NT  A--       223/480   von=80   voff=80
BA   11   CR    67/120   TR  2   CH  1   NT  F#--          1/8   von=90   voff=90
BA   11   CR         1   TR  1   CH  1   NT  C--         29/60   von=97   voff=97
BA   11   CR         1   TR  4   CH  1   NT  A--         49/96   von=74   voff=74
BA   11   CR  1+67/120   TR  2   CH  1   NT  F#--       61/480   von=97   voff=97
BA   11   CR         2   TR  1   CH  1   NT  D--         11/32   von=101   voff=101
BA   11   CR         2   TR  4   CH  1   NT  C-        479/480   von=86   voff=86
BA   11   CR     2+1/2   TR  1   CH  1   NT  C--        53/240   von=95   voff=95
BA   11   CR  2+67/120   TR  2   CH  1   NT  F#--       61/480   von=94   voff=94
BA   11   CR         3   TR  1   CH  1   NT  D--        43/160   von=97   voff=97
BA   11   CR         3   TR  4   CH  1   NT  A--          7/15   von=82   voff=82
BA   11   CR     3+1/2   TR  1   CH  1   NT  Eb--       41/160   von=78   voff=78
BA   11   CR     3+1/2   TR  4   CH  1   NT  D-        233/480   voff=82
BA   11   CR  3+67/120   TR  2   CH  1   NT  F#--        11/96   von=97   voff=97
BA   11   CR     3+3/4   TR  1   CH  1   NT  E--          5/16   von=101   voff=101

BA   12   CR       1/2   TR  4   CH  1   NT  D-          23/48   von=80   voff=80
BA   12   CR    67/120   TR  2   CH  1   NT  F#--       29/240   von=109   voff=109
BA   12   CR     1+1/2   TR  4   CH  1   NT  D-          41/96   von=76   voff=76
BA   12   CR  1+67/120   TR  2   CH  1   NT  F#--       21/160   voff=109
BA   12   CR         2   TR  4   CH  1   NT  C-        107/240   von=78   voff=78
BA   12   CR  2+67/120   TR  2   CH  1   NT  F#--       67/480   von=103   voff=103
BA   12   CR         3   TR  4   CH  1   NT  C-         61/120   von=90   voff=90
BA   12   CR  3+67/120   TR  2   CH  1   NT  F#--       67/480   von=107   voff=107

BA   13   CR         0   TR  1   CH  1   NT  A---       59/120   von=105   voff=105
BA   13   CR         0   TR  4   CH  1   NT  A--       191/480   von=86   voff=86
BA   13   CR      9/16   TR  2   CH  1   NT  F#--          1/8   von=90   voff=90
BA   13   CR     13/16   TR  2   CH  1   NT  F#--       61/480   von=92   voff=92
BA   13   CR         1   TR  1   CH  1   NT  C--         29/60   von=97   voff=97
BA   13   CR         1   TR  4   CH  1   NT  A--          9/20   von=80   voff=80
BA   13   CR    1+9/16   TR  2   CH  1   NT  F#--       61/480   von=97   voff=97
BA   13   CR   1+13/16   TR  2   CH  1   NT  F#--       17/120   von=92   voff=92
BA   13   CR         2   TR  1   CH  1   NT  D--         11/32   von=101   voff=101
BA   13   CR         2   TR  4   CH  1   NT  C-          23/48   von=84   voff=84
BA   13   CR     2+1/2   TR  1   CH  1   NT  C--        53/240   von=95   voff=95
BA   13   CR    2+9/16   TR  2   CH  1   NT  F#--       61/480   von=94   voff=94
BA   13   CR   2+13/16   TR  2   CH  1   NT  F#--          1/8   von=88   voff=88
BA   13   CR         3   TR  1   CH  1   NT  D--        43/160   von=97   voff=97
BA   13   CR         3   TR  4   CH  1   NT  A--          7/20   von=74   voff=74
BA   13   CR     3+1/2   TR  1   CH  1   NT  Eb--       41/160   von=78   voff=78
BA   13   CR     3+1/2   TR  4   CH  1   NT  D-          23/60   von=70   voff=70
BA   13   CR    3+9/16   TR  2   CH  1   NT  F#--        11/96   von=97   voff=97
BA   13   CR     3+3/4   TR  1   CH  1   NT  E--       119/480   von=101   voff=101
BA   13   CR   3+13/16   TR  2   CH  1   NT  F#--          1/8   von=88   voff=88

BA   14   CR       1/4   TR  1   CH  1   NT  A--      3+61/480   von=103   voff=103
BA   14   CR       1/2   TR  4   CH  1   NT  D-          13/32   von=90   voff=90
BA   14   CR      9/16   TR  2   CH  1   NT  F#--       29/240   von=109   voff=109
BA   14   CR     13/16   TR  2   CH  1   NT  F#--          1/8   von=95   voff=95
BA   14   CR     1+1/2   TR  4   CH  1   NT  D-           7/20   von=86   voff=86
BA   14   CR    1+9/16   TR  2   CH  1   NT  F#--       21/160   von=109   voff=109
BA   14   CR   1+13/16   TR  2   CH  1   NT  F#--       79/480   von=105   voff=105
BA   14   CR         2   TR  4   CH  1   NT  C-        211/480   von=82   voff=82
BA   14   CR    2+9/16   TR  2   CH  1   NT  F#--       67/480   von=103   voff=103
BA   14   CR   2+13/16   TR  2   CH  1   NT  F#--       79/480   von=107   voff=107
BA   14   CR         3   TR  4   CH  1   NT  C-          11/24   von=80   voff=80
BA   14   CR    3+9/16   TR  2   CH  1   NT  F#--       67/480   voff=107
BA   14   CR   3+13/16   TR  2   CH  1   NT  F#--       61/480   von=111   voff=111

BA   15   CR         0   TR  1   CH  1   NT  A---       59/120   von=105   voff=105
BA   15   CR         0   TR  4   CH  1   NT  A--       103/240   von=84   voff=84
BA   15   CR      9/16   TR  2   CH  1   NT  F#--          1/8   von=90   voff=90
BA   15   CR     13/16   TR  2   CH  1   NT  F#--       61/480   von=92   voff=92
BA   15   CR         1   TR  1   CH  1   NT  C--         29/60   von=97   voff=97
BA   15   CR         1   TR  4   CH  1   NT  A--         37/80   von=86   voff=86
BA   15   CR    1+9/16   TR  2   CH  1   NT  F#--       61/480   von=97   voff=97
BA   15   CR   1+13/16   TR  2   CH  1   NT  F#--       17/120   von=92   voff=92
BA   15   CR         2   TR  1   CH  1   NT  D--         11/32   von=101   voff=101
BA   15   CR         2   TR  4   CH  1   NT  C-          13/20   voff=86
BA   15   CR     2+1/2   TR  1   CH  1   NT  C--        53/240   von=95   voff=95
BA   15   CR    2+9/16   TR  2   CH  1   NT  F#--       61/480   von=94   voff=94
BA   15   CR   2+13/16   TR  2   CH  1   NT  F#--          1/8   von=88   voff=88
BA   15   CR         3   TR  1   CH  1   NT  D--        43/160   von=97   voff=97
BA   15   CR         3   TR  4   CH  1   NT  A--         13/32   von=84   voff=84
BA   15   CR     3+1/2   TR  1   CH  1   NT  Eb--       41/160   von=78   voff=78
BA   15   CR     3+1/2   TR  4   CH  1   NT  D-          43/96   von=80   voff=80
BA   15   CR    3+9/16   TR  2   CH  1   NT  F#--        11/96   von=97   voff=97
BA   15   CR     3+3/4   TR  1   CH  1   NT  E--          5/16   von=101   voff=101
BA   15   CR   3+13/16   TR  2   CH  1   NT  F#--          1/8   von=88   voff=88

BA   16   CR       1/2   TR  4   CH  1   NT  D-        203/480   von=88   voff=88
BA   16   CR      9/16   TR  2   CH  1   NT  F#--       29/240   von=109   voff=109
BA   16   CR     13/16   TR  2   CH  1   NT  F#--          1/8   von=95   voff=95
BA   16   CR     1+1/2   TR  4   CH  1   NT  D-          33/80   von=92   voff=92
BA   16   CR    1+9/16   TR  2   CH  1   NT  F#--       21/160   von=109   voff=109
BA   16   CR   1+13/16   TR  2   CH  1   NT  F#--       79/480   von=105   voff=105
BA   16   CR         2   TR  4   CH  1   NT  C-          37/80   von=86   voff=86
BA   16   CR    2+9/16   TR  2   CH  1   NT  F#--       67/480   von=103   voff=103
BA   16   CR   2+13/16   TR  2   CH  1   NT  F#--       79/480   von=107   voff=107
BA   16   CR         3   TR  4   CH  1   NT  C-         61/240   von=103   voff=103
BA   16   CR   3+1/160   TR  3   CH  1   NT  C--           3/8   von=102   voff=102
BA   16   CR   3+1/160   TR  3   CH  1   NT  G-          37/96   von=97   voff=97
BA   16   CR   3+1/160   TR  3   CH  1   NT  C          41/120   voff=97
BA   16   CR   3+1/160   TR  3   CH  1   NT  E           35/96   von=101   voff=90
BA   16   CR   3+1/160   TR  3   CH  1   NT  G           11/30   von=109   voff=109
BA   16   CR   3+1/160   TR  3   CH  1   NT  C'         41/120   voff=97
BA   16   CR   3+1/160   TR  3   CH  1   NT  E-          35/96   von=90   voff=90
BA   16   CR   3+1/160   TR  5   CH  1   NT  C-        119/480   von=102   voff=103
BA   16   CR   3+1/160   TR  5   CH  1   NT  G           11/30   von=97   voff=109
BA   16   CR   3+1/160   TR  5   CH  1   NT  C'         41/120   voff=97
BA   16   CR   3+1/160   TR  5   CH  1   NT  E'        179/480   von=101   voff=101
BA   16   CR   3+1/160   TR  5   CH  1   NT  G'          11/30   von=109   voff=109
BA   16   CR   3+1/160   TR  5   CH  1   NT  C''         13/32   voff=109
BA   16   CR   3+1/160   TR  5   CH  1   NT  E           35/96   von=90   voff=90
BA   16   CR  3+41/160   TR  3   CH  1   ST &B0 &40 &7F
BA   16   CR  3+41/160   TR  5   CH  1   ST &B0 &40 &7F
BA   16   CR    3+9/16   TR  2   CH  1   NT  F#--       67/480   voff=107
BA   16   CR   3+13/16   TR  2   CH  1   NT  F#--       61/480   von=111   voff=111
BA   16   CR 3+479/480   TR  5   CH  1   NT  A'          11/30   von=103   voff=103
BA   16   CR 3+479/480   TR  5   CH  1   NT  C'        149/480   von=105   voff=105
BA   16   CR 3+479/480   TR  5   CH  1   NT  A           11/30   von=101   voff=103
BA   16   CR 3+479/480   TR  5   CH  1   NT  E           17/48   von=107   voff=107
BA   16   CR 3+479/480   TR  5   CH  1   NT  E'         91/240   von=112   voff=112
BA   16   CR 3+479/480   TR  5   CH  1   NT  A--           3/8   von=102   voff=102

BA   17   CR         0   TR  3   CH  1   NT  A           35/96   von=103   voff=103
BA   17   CR         0   TR  3   CH  1   NT  C          37/120   von=105   voff=105
BA   17   CR         0   TR  3   CH  1   NT  A-          11/30   von=101   voff=101
BA   17   CR         0   TR  3   CH  1   NT  E-        169/480   von=107   voff=107
BA   17   CR         0   TR  3   CH  1   NT  E         169/480   von=112   voff=107
BA   17   CR         0   TR  3   CH  1   NT  A---          3/8   von=102   voff=102
BA   17   CR   119/480   TR  5   CH  1   ST &B0 &40 &00
BA   17   CR       1/4   TR  3   CH  1   ST &B0 &40 &00
BA   17   CR    67/120   TR  2   CH  1   NT  F#--          1/8   von=90   voff=90
BA   17   CR  1+67/120   TR  2   CH  1   NT  F#--       61/480   von=97   voff=97
BA   17   CR   1+13/16   TR  2   CH  1   NT  F#--       61/480   voff=97
BA   17   CR  2+67/120   TR  2   CH  1   NT  F#--       61/480   von=94   voff=94
BA   17   CR  3+67/120   TR  2   CH  1   NT  F#--        11/96   von=97   voff=97

BA   18   CR    67/120   TR  2   CH  1   NT  F#--       29/240   von=109   voff=109
BA   18   CR  1+67/120   TR  2   CH  1   NT  F#--       21/160   voff=109
BA   18   CR   1+13/16   TR  2   CH  1   NT  F#--       21/160   voff=109
BA   18   CR  2+67/120   TR  2   CH  1   NT  F#--       67/480   von=103   voff=103
BA   18   CR   2+59/60   TR  3   CH  1   ST &B0 &40 &0E
BA   18   CR   2+59/60   TR  5   CH  1   ST &B0 &40 &0E
BA   18   CR 2+239/240   TR  3   CH  1   ST &B0 &40 &1E
BA   18   CR 2+239/240   TR  5   CH  1   ST &B0 &40 &1E
BA   18   CR 2+479/480   TR  5   CH  1   ST &B0 &40 &7F
BA   18   CR         3   TR  3   CH  1   ST &B0 &40 &7F
BA   18   CR  3+67/120   TR  2   CH  1   NT  F#--       67/480   von=107   voff=107

BA   19   CR    59/480   TR  5   CH  1   ST &B0 &40 &00
BA   19   CR       1/8   TR  3   CH  1   ST &B0 &40 &00
BA   19   CR    67/120   TR  2   CH  1   NT  F#--          1/8   von=90   voff=90
BA   19   CR  1+67/120   TR  2   CH  1   NT  F#--       61/480   von=97   voff=97
BA   19   CR   1+13/16   TR  2   CH  1   NT  F#--       61/480   voff=97
BA   19   CR  2+67/120   TR  2   CH  1   NT  F#--       61/480   von=94   voff=94
BA   19   CR  3+67/120   TR  2   CH  1   NT  F#--        11/96   von=97   voff=97

BA   20   CR    67/120   TR  2   CH  1   NT  F#--       29/240   von=109   voff=109
BA   20   CR  1+67/120   TR  2   CH  1   NT  F#--       21/160   voff=109
BA   20   CR   1+13/16   TR  2   CH  1   NT  F#--       21/160   voff=109
BA   20   CR 2+479/480   TR  5   CH  1   NT  G           11/30   von=97   voff=109
BA   20   CR 2+479/480   TR  5   CH  1   NT  C'         41/120   voff=97
BA   20   CR 2+479/480   TR  5   CH  1   NT  E           11/30   von=90   voff=90
BA   20   CR 2+479/480   TR  5   CH  1   NT  E'            3/8   von=101   voff=101
BA   20   CR 2+479/480   TR  5   CH  1   NT  G'          11/30   von=109   voff=109
BA   20   CR 2+479/480   TR  5   CH  1   NT  C''        49/120   voff=109
BA   20   CR 2+479/480   TR  5   CH  1   NT  C-            3/8   von=102   voff=102
BA   20   CR         3   TR  3   CH  1   NT  G-          23/60   von=97   voff=97
BA   20   CR         3   TR  3   CH  1   NT  C         163/480   voff=97
BA   20   CR         3   TR  3   CH  1   NT  E-          35/96   von=90   voff=90
BA   20   CR         3   TR  3   CH  1   NT  E           35/96   von=101   voff=90
BA   20   CR         3   TR  3   CH  1   NT  G           35/96   von=109   voff=109
BA   20   CR         3   TR  3   CH  1   NT  C'        163/480   voff=97
BA   20   CR         3   TR  3   CH  1   NT  C--           3/8   von=102   voff=102
BA   20   CR 3+119/480   TR  5   CH  1   ST &B0 &40 &7F
BA   20   CR     3+1/4   TR  3   CH  1   ST &B0 &40 &7F
BA   20   CR 3+479/480   TR  5   CH  1   NT  A'          11/30   von=103   voff=103
BA   20   CR 3+479/480   TR  5   CH  1   NT  C'        149/480   von=105   voff=105
BA   20   CR 3+479/480   TR  5   CH  1   NT  A           11/30   von=101   voff=103
BA   20   CR 3+479/480   TR  5   CH  1   NT  E           17/48   von=107   voff=107
BA   20   CR 3+479/480   TR  5   CH  1   NT  E'         91/240   von=112   voff=112
BA   20   CR 3+479/480   TR  5   CH  1   NT  A--           3/8   von=102   voff=102

BA   21   CR         0   TR  1   CH  1   NT  A---          3/8   von=105   voff=102
BA   21   CR         0   TR  3   CH  1   NT  A           35/96   von=103   voff=103
BA   21   CR         0   TR  3   CH  1   NT  C          37/120   von=105   voff=105
BA   21   CR         0   TR  3   CH  1   NT  A-          11/30   von=101   voff=101
BA   21   CR         0   TR  3   CH  1   NT  E-        169/480   von=107   voff=107
BA   21   CR         0   TR  3   CH  1   NT  E         169/480   von=112   voff=107
BA   21   CR         0   TR  3   CH  1   NT  A---          3/8   von=102   voff=102
BA   21   CR   119/480   TR  5   CH  1   ST &B0 &40 &00
BA   21   CR       1/4   TR  3   CH  1   ST &B0 &40 &00
BA   21   CR    67/120   TR  2   CH  1   NT  F#--          1/8   von=90   voff=90
BA   21   CR   469/480   TR  4   CH  1   NT  Eb''       17/120   von=101   voff=101
BA   21   CR         1   TR  1   CH  1   NT  C--         29/60   von=97   voff=97
BA   21   CR  1+49/480   TR  4   CH  1   NT  E''      2+29/480   von=97   voff=97
BA   21   CR  1+67/120   TR  2   CH  1   NT  F#--       61/480   von=97   voff=97
BA   21   CR         2   TR  1   CH  1   NT  D--         11/32   von=101   voff=101
BA   21   CR     2+1/2   TR  1   CH  1   NT  C--        53/240   von=95   voff=95
BA   21   CR  2+67/120   TR  2   CH  1   NT  F#--       61/480   von=94   voff=94
BA   21   CR         3   TR  1   CH  1   NT  D--        43/160   von=97   voff=97
BA   21   CR  3+11/240   TR  4   CH  1   NT  D''       143/480   von=109   voff=109
BA   21   CR     3+1/2   TR  1   CH  1   NT  Eb--       41/160   von=78   voff=78
BA   21   CR 3+127/240   TR  4   CH  1   NT  C''           1/4   von=95   voff=95
BA   21   CR  3+67/120   TR  2   CH  1   NT  F#--        11/96   von=97   voff=97
BA   21   CR     3+3/4   TR  1   CH  1   NT  E--       119/480   von=101   voff=101

BA   22   CR    13/480   TR  4   CH  1   NT  D''        51/160   von=101   voff=101
BA   22   CR       1/4   TR  1   CH  1   NT  A--      3+61/480   von=103   voff=103
BA   22   CR     25/48   TR  4   CH  1   NT  C''          7/30   von=103   voff=103
BA   22   CR    67/120   TR  2   CH  1   NT  F#--       29/240   von=109   voff=109
BA   22   CR   159/160   TR  4   CH  1   NT  A'            1/3   von=99   voff=99
BA   22   CR 1+217/480   TR  4   CH  1   NT  G'          13/60   von=78   voff=78
BA   22   CR  1+67/120   TR  2   CH  1   NT  F#--       21/160   voff=109
BA   22   CR 1+349/480   TR  4   CH  1   NT  A'       1+83/120   von=76   voff=76
BA   22   CR  2+67/120   TR  2   CH  1   NT  F#--       67/480   von=103   voff=103
BA   22   CR   2+59/60   TR  3   CH  1   ST &B0 &40 &0E
BA   22   CR   2+59/60   TR  5   CH  1   ST &B0 &40 &0E
BA   22   CR 2+239/240   TR  3   CH  1   ST &B0 &40 &1E
BA   22   CR 2+239/240   TR  5   CH  1   ST &B0 &40 &1E
BA   22   CR 2+479/480   TR  5   CH  1   NT  G           11/30   von=97   voff=109
BA   22   CR 2+479/480   TR  5   CH  1   NT  C'         41/120   voff=97
BA   22   CR 2+479/480   TR  5   CH  1   NT  E           11/30   von=90   voff=90
BA   22   CR 2+479/480   TR  5   CH  1   NT  E'            3/8   von=101   voff=101
BA   22   CR 2+479/480   TR  5   CH  1   NT  G'          11/30   von=109   voff=109
BA   22   CR 2+479/480   TR  5   CH  1   NT  C''        49/120   voff=109
BA   22   CR 2+479/480   TR  5   CH  1   NT  C-            3/8   von=102   voff=102
BA   22   CR 2+479/480   TR  5   CH  1   ST &B0 &40 &7F
BA   22   CR         3   TR  3   CH  1   NT  G-          23/60   von=97   voff=97
BA   22   CR         3   TR  3   CH  1   NT  C         163/480   voff=97
BA   22   CR         3   TR  3   CH  1   NT  E-          35/96   von=90   voff=90
BA   22   CR         3   TR  3   CH  1   NT  E           35/96   von=101   voff=90
BA   22   CR         3   TR  3   CH  1   NT  G           35/96   von=109   voff=109
BA   22   CR         3   TR  3   CH  1   NT  C'        163/480   voff=97
BA   22   CR         3   TR  3   CH  1   NT  C--           3/8   von=102   voff=102
BA   22   CR         3   TR  3   CH  1   ST &B0 &40 &7F
BA   22   CR   3+43/80   TR  4   CH  1   NT  G'         83/480   von=80   voff=80
BA   22   CR  3+67/120   TR  2   CH  1   NT  F#--       67/480   von=107   voff=107
BA   22   CR 3+121/160   TR  4   CH  1   NT  A'         23/120   von=97   voff=97
BA   22   CR 3+479/480   TR  5   CH  1   NT  E'         91/240   von=112   voff=112
BA   22   CR 3+479/480   TR  5   CH  1   NT  C         149/480   von=101   voff=105
BA   22   CR 3+479/480   TR  5   CH  1   NT  E           17/48   von=107   voff=107
BA   22   CR 3+479/480   TR  5   CH  1   NT  A           11/30   von=101   voff=103
BA   22   CR 3+479/480   TR  5   CH  1   NT  C'        149/480   von=105   voff=105
BA   22   CR 3+479/480   TR  5   CH  1   NT  A'          11/30   von=103   voff=103
BA   22   CR 3+479/480   TR  5   CH  1   NT  A--           3/8   von=102   voff=102

BA   23   CR         0   TR  1   CH  1   NT  A---          3/8   von=105   voff=102
BA   23   CR         0   TR  3   CH  1   NT  E         169/480   von=112   voff=107
BA   23   CR         0   TR  3   CH  1   NT  C-        163/480   von=101   voff=101
BA   23   CR         0   TR  3   CH  1   NT  E-        169/480   von=107   voff=107
BA   23   CR         0   TR  3   CH  1   NT  A-          11/30   von=101   voff=101
BA   23   CR         0   TR  3   CH  1   NT  C          37/120   von=105   voff=105
BA   23   CR         0   TR  3   CH  1   NT  A           35/96   von=103   voff=103
BA   23   CR         0   TR  3   CH  1   NT  A---          3/8   von=102   voff=102
BA   23   CR         0   TR  4   CH  1   NT  C''       151/480   voff=97
BA   23   CR    59/480   TR  5   CH  1   ST &B0 &40 &00
BA   23   CR       1/8   TR  3   CH  1   ST &B0 &40 &00
BA   23   CR    67/120   TR  2   CH  1   NT  F#--          1/8   von=90   voff=90
BA   23   CR         1   TR  1   CH  1   NT  C--         29/60   von=97   voff=97
BA   23   CR     1+1/2   TR  4   CH  1   NT  G'           7/30   von=84   voff=84
BA   23   CR  1+67/120   TR  2   CH  1   NT  F#--       61/480   von=97   voff=97
BA   23   CR   1+29/40   TR  4   CH  1   NT  A'         47/240   von=86   voff=86
BA   23   CR   1+31/32   TR  4   CH  1   NT  D''         23/96   von=92   voff=92
BA   23   CR         2   TR  1   CH  1   NT  D--         11/32   von=101   voff=101
BA   23   CR     2+1/2   TR  1   CH  1   NT  C--        53/240   von=95   voff=95
BA   23   CR  2+67/120   TR  2   CH  1   NT  F#--       61/480   von=94   voff=94
BA   23   CR         3   TR  1   CH  1   NT  D--        43/160   von=97   voff=97
BA   23   CR 3+223/480   TR  4   CH  1   NT  G'         79/480   von=72   voff=72
BA   23   CR     3+1/2   TR  1   CH  1   NT  Eb--       41/160   von=78   voff=78
BA   23   CR  3+67/120   TR  2   CH  1   NT  F#--        11/96   von=97   voff=97
BA   23   CR 3+109/160   TR  4   CH  1   NT  A'         31/160   von=92   voff=92
BA   23   CR     3+3/4   TR  1   CH  1   NT  E--       119/480   von=101   voff=101
BA   23   CR 3+467/480   TR  4   CH  1   NT  D''       139/480   von=95   voff=95

BA   24   CR       1/4   TR  1   CH  1   NT  A--      3+61/480   von=103   voff=103
BA   24   CR   109/240   TR  4   CH  1   NT  Eb''         5/32   von=105   voff=105
BA   24   CR    67/120   TR  2   CH  1   NT  F#--       29/240   von=109   voff=109
BA   24   CR   119/160   TR  4   CH  1   NT  E''       2+23/96   von=101   voff=101
BA   24   CR  1+67/120   TR  2   CH  1   NT  F#--       21/160   voff=109
BA   24   CR  2+67/120   TR  2   CH  1   NT  F#--       67/480   von=103   voff=103
BA   24   CR 2+479/480   TR  5   CH  1   NT  G           11/30   von=97   voff=109
BA   24   CR 2+479/480   TR  5   CH  1   NT  C'         41/120   voff=97
BA   24   CR 2+479/480   TR  5   CH  1   NT  E           11/30   von=90   voff=90
BA   24   CR 2+479/480   TR  5   CH  1   NT  E'            3/8   von=101   voff=101
BA   24   CR 2+479/480   TR  5   CH  1   NT  G'          11/30   von=109   voff=109
BA   24   CR 2+479/480   TR  5   CH  1   NT  C''        49/120   voff=109
BA   24   CR 2+479/480   TR  5   CH  1   NT  C-            3/8   von=102   voff=102
BA   24   CR         3   TR  3   CH  1   NT  G-          23/60   von=97   voff=97
BA   24   CR         3   TR  3   CH  1   NT  C         163/480   voff=97
BA   24   CR         3   TR  3   CH  1   NT  E-          35/96   von=90   voff=90
BA   24   CR         3   TR  3   CH  1   NT  E           35/96   von=101   voff=90
BA   24   CR         3   TR  3   CH  1   NT  G           35/96   von=109   voff=109
